0,0,0,0,0,1.236,1.827,0.945,0,0.896,0,0
0,0,0,0,0,0,1.301,1.404,1.896,0,0,0
0,0,0,0,0.794,0.685,1.834,1.266,0,2.145,0,0
0,0,0,0,0,0,1.089,1.639,1.834,0,0,0
0,0,0.794,0,0,0,0,0,0,0,1.236,0.578
1.236,0,0.685,0,0,0,0,0,0,0,0.487,1.898
1.827,1.301,1.834,1.089,0,0,0,0,0,0,0.544,1.311
0.945,1.404,1.266,1.639,0,0,0,0,0,0,1.47,1.695
0,1.896,0,1.834,0,0,0,0,0,0,2.136,0.786
0.896,0,2.145,0,0,0,0,0,0,0,1.356,0.896
0,0,0,0,1.236,0.487,0.544,1.47,2.136,1.356,0,0
0,0,0,0,0.578,1.898,1.311,1.695,0.786,0.896,0,0
